idiom	patterns
corporate ladder	"[[{""LEMMA"": {""REGEX"": ""(?i)^corporate$""}}, {""LEMMA"": {""REGEX"": ""(?i)^ladder$""}}]]"
cost the earth	"[[{""LEMMA"": {""REGEX"": ""(?i)^cost$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^earth$""}}]]"
cotton-picking	"[[{""TEXT"": {""REGEX"": ""(?i)^cotton$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^picking$""}}], [{""TEXT"": {""REGEX"": ""(?i)^cotton$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^pickin$""}}, {""TEXT"": {""REGEX"": ""(?i)^'$""}}]]"
could care less	"[[{""LEMMA"": {""REGEX"": ""(?i)^could$""}}, {""LEMMA"": {""REGEX"": ""(?i)^care$""}}, {""LEMMA"": {""REGEX"": ""(?i)^less$""}}]]"
count one's blessings	"[[{""LEMMA"": {""REGEX"": ""(?i)^count$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^blessing$""}}]]"
courage of one's convictions	"[[{""LEMMA"": {""REGEX"": ""(?i)^courage$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^conviction$""}}]]"
crack a smile	"[[{""LEMMA"": {""REGEX"": ""(?i)^crack$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^smile$""}}]]"
crack of dawn	"[[{""LEMMA"": {""REGEX"": ""(?i)^crack$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^dawn$""}}]]"
cradle-to-grave	"[[{""TEXT"": {""REGEX"": ""(?i)^cradle$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^grave$""}}]]"
crash and burn	"[[{""LEMMA"": {""REGEX"": ""(?i)^crash$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^burn$""}}]]"
cream of the crop	"[[{""LEMMA"": {""REGEX"": ""(?i)^cream$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^crop$""}}]]"
creature feature	"[[{""LEMMA"": {""REGEX"": ""(?i)^creature$""}}, {""LEMMA"": {""REGEX"": ""(?i)^feature$""}}]]"
creme de la creme	"[[{""LEMMA"": {""REGEX"": ""(?i)^creme$""}}, {""LEMMA"": {""REGEX"": ""(?i)^de$""}}, {""LEMMA"": {""REGEX"": ""(?i)^la$""}}, {""LEMMA"": {""REGEX"": ""(?i)^creme$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^cr\u00e8me$""}}, {""LEMMA"": {""REGEX"": ""(?i)^de$""}}, {""LEMMA"": {""REGEX"": ""(?i)^la$""}}, {""LEMMA"": {""REGEX"": ""(?i)^cr\u00e8me$""}}]]"
crony capitalism	"[[{""LEMMA"": {""REGEX"": ""(?i)^crony$""}}, {""LEMMA"": {""REGEX"": ""(?i)^capitalism$""}}]]"
cross someone's path	"[[{""LEMMA"": {""REGEX"": ""(?i)^cross$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^path$""}}]]"
cross the line	"[[{""LEMMA"": {""REGEX"": ""(?i)^cross$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^line$""}}]]"
crowd-pleaser	"[[{""TEXT"": {""REGEX"": ""(?i)^crowd$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^pleaser$""}}]]"
crunch numbers	"[[{""LEMMA"": {""REGEX"": ""(?i)^crunch$""}}, {""LEMMA"": {""REGEX"": ""(?i)^number$""}}]]"
cry for help	"[[{""LEMMA"": {""REGEX"": ""(?i)^cry$""}}, {""LEMMA"": {""REGEX"": ""(?i)^for$""}}, {""LEMMA"": {""REGEX"": ""(?i)^help$""}}]]"
crème de la crème	"[[{""LEMMA"": {""REGEX"": ""(?i)^cr\u00e8me$""}}, {""LEMMA"": {""REGEX"": ""(?i)^de$""}}, {""LEMMA"": {""REGEX"": ""(?i)^la$""}}, {""LEMMA"": {""REGEX"": ""(?i)^cr\u00e8me$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^creme$""}}, {""LEMMA"": {""REGEX"": ""(?i)^de$""}}, {""LEMMA"": {""REGEX"": ""(?i)^la$""}}, {""LEMMA"": {""REGEX"": ""(?i)^creme$""}}]]"
culpable homicide	"[[{""LEMMA"": {""REGEX"": ""(?i)^culpable$""}}, {""LEMMA"": {""REGEX"": ""(?i)^homicide$""}}]]"
cup of joe	"[[{""LEMMA"": {""REGEX"": ""(?i)^cup$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^joe$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^cup$""}}, {""LEMMA"": {""REGEX"": ""(?i)^o$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'$""}}, {""LEMMA"": {""REGEX"": ""(?i)^joe$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^cuppa$""}}, {""LEMMA"": {""REGEX"": ""(?i)^joe$""}}]]"
cup of tea	"[[{""LEMMA"": {""REGEX"": ""(?i)^cup$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^tea$""}}]]"
curtain-raiser	"[[{""TEXT"": {""REGEX"": ""(?i)^curtain$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^raiser$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^curtain$""}}, {""LEMMA"": {""REGEX"": ""(?i)^raiser$""}}]]"
cut a swath	"[[{""LEMMA"": {""REGEX"": ""(?i)^cut$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^swath$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^cut$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^swathe$""}}]]"
cut and dried	"[[{""LEMMA"": {""REGEX"": ""(?i)^cut$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^dry$""}}], [{""TEXT"": {""REGEX"": ""(?i)^cut$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^and$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^dried$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^cut$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^dry$""}}]]"
cut and thrust	"[[{""LEMMA"": {""REGEX"": ""(?i)^cut$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^thrust$""}}]]"
cut both ways	"[[{""LEMMA"": {""REGEX"": ""(?i)^cut$""}}, {""LEMMA"": {""REGEX"": ""(?i)^both$""}}, {""LEMMA"": {""REGEX"": ""(?i)^way$""}}]]"
cut from the same cloth	"[[{""LEMMA"": {""REGEX"": ""(?i)^cut$""}}, {""LEMMA"": {""REGEX"": ""(?i)^from$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^same$""}}, {""LEMMA"": {""REGEX"": ""(?i)^cloth$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^cut$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^same$""}}, {""LEMMA"": {""REGEX"": ""(?i)^cloth$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^cut$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^same$""}}, {""LEMMA"": {""REGEX"": ""(?i)^cloth$""}}]]"
cut one's teeth	"[[{""LEMMA"": {""REGEX"": ""(?i)^cut$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^tooth$""}}]]"
cut red tape	"[[{""LEMMA"": {""REGEX"": ""(?i)^cut$""}}, {""LEMMA"": {""REGEX"": ""(?i)^red$""}}, {""LEMMA"": {""REGEX"": ""(?i)^tape$""}}]]"
cut the mustard	"[[{""LEMMA"": {""REGEX"": ""(?i)^cut$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^mustard$""}}]]"
cut the umbilical cord	"[[{""LEMMA"": {""REGEX"": ""(?i)^cut$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^umbilical$""}}, {""LEMMA"": {""REGEX"": ""(?i)^cord$""}}]]"
cut to the chase	"[[{""LEMMA"": {""REGEX"": ""(?i)^cut$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^chase$""}}]]"
date with destiny	"[[{""LEMMA"": {""REGEX"": ""(?i)^date$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}, {""LEMMA"": {""REGEX"": ""(?i)^destiny$""}}]]"
day after day	"[[{""LEMMA"": {""REGEX"": ""(?i)^day$""}}, {""LEMMA"": {""REGEX"": ""(?i)^after$""}}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}]]"
day and age	"[[{""LEMMA"": {""REGEX"": ""(?i)^day$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^age$""}}]]"
day and night	"[[{""LEMMA"": {""REGEX"": ""(?i)^day$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^night$""}}]]"
day in, day out	"[[{""LEMMA"": {""REGEX"": ""(?i)^day$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": "","", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}]]"
day or night	"[[{""LEMMA"": {""REGEX"": ""(?i)^day$""}}, {""LEMMA"": {""REGEX"": ""(?i)^or$""}}, {""LEMMA"": {""REGEX"": ""(?i)^night$""}}]]"
day-to-day	"[[{""TEXT"": {""REGEX"": ""(?i)^day$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^day$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^day$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}]]"
daylight robbery	"[[{""LEMMA"": {""REGEX"": ""(?i)^daylight$""}}, {""LEMMA"": {""REGEX"": ""(?i)^robbery$""}}]]"
days of yore	"[[{""LEMMA"": {""REGEX"": ""(?i)^day$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^yore$""}}]]"
dead and buried	"[[{""LEMMA"": {""REGEX"": ""(?i)^dead$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^bury$""}}]]"
dead cat bounce	"[[{""LEMMA"": {""REGEX"": ""(?i)^dead$""}}, {""LEMMA"": {""REGEX"": ""(?i)^cat$""}}, {""LEMMA"": {""REGEX"": ""(?i)^bounce$""}}]]"
dead in the water	"[[{""LEMMA"": {""REGEX"": ""(?i)^dead$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^water$""}}]]"
dead of night	"[[{""LEMMA"": {""REGEX"": ""(?i)^dead$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^night$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^dead$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^night$""}}]]"
deafening silence	"[[{""LEMMA"": {""REGEX"": ""(?i)^deafen$""}}, {""LEMMA"": {""REGEX"": ""(?i)^silence$""}}]]"
deer in the headlights	"[[{""LEMMA"": {""REGEX"": ""(?i)^deer$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^headlight$""}}]]"
definitive agreement	"[[{""LEMMA"": {""REGEX"": ""(?i)^definitive$""}}, {""LEMMA"": {""REGEX"": ""(?i)^agreement$""}}]]"
deliver the goods	"[[{""LEMMA"": {""REGEX"": ""(?i)^deliver$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^good$""}}]]"
detective work	"[[{""LEMMA"": {""REGEX"": ""(?i)^detective$""}}, {""LEMMA"": {""REGEX"": ""(?i)^work$""}}]]"
devil is in the details	"[[{""LEMMA"": {""REGEX"": ""(?i)^devil$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^detail$""}}]]"
devil's advocate	"[[{""LEMMA"": {""REGEX"": ""(?i)^devil$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}, {""LEMMA"": {""REGEX"": ""(?i)^advocate$""}}]]"
diamond in the rough	"[[{""LEMMA"": {""REGEX"": ""(?i)^diamond$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^rough$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^rough$""}}, {""LEMMA"": {""REGEX"": ""(?i)^diamond$""}}]]"
dig in one's heels	"[[{""LEMMA"": {""REGEX"": ""(?i)^dig$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^heel$""}}]]"
dig up dirt	"[[{""LEMMA"": {""REGEX"": ""(?i)^dig$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""LEMMA"": {""REGEX"": ""(?i)^dirt$""}}]]"
dime a dozen	"[[{""LEMMA"": {""REGEX"": ""(?i)^dime$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^dozen$""}}]]"
diminishing returns	"[[{""LEMMA"": {""REGEX"": ""(?i)^diminish$""}}, {""LEMMA"": {""REGEX"": ""(?i)^return$""}}]]"
dirt-poor	"[[{""TEXT"": {""REGEX"": ""(?i)^dirt$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^poor$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^dirt$""}}, {""LEMMA"": {""REGEX"": ""(?i)^poor$""}}]]"
dismal science	"[[{""LEMMA"": {""REGEX"": ""(?i)^dismal$""}}, {""LEMMA"": {""REGEX"": ""(?i)^science$""}}]]"
do away with	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""LEMMA"": {""REGEX"": ""(?i)^away$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}]]"
do it tough	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}, {""LEMMA"": {""REGEX"": ""(?i)^tough$""}}]]"
do one's bit	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^bit$""}}]]"
do one's business	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^business$""}}]]"
do one's thing	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^thing$""}}]]"
do right by	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""LEMMA"": {""REGEX"": ""(?i)^right$""}}, {""LEMMA"": {""REGEX"": ""(?i)^by$""}}]]"
do someone proud	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""POS"": ""PRON""}, {""LEMMA"": {""REGEX"": ""(?i)^proud$""}}]]"
do the deed	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^deed$""}}]]"
do the hard yards	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^hard$""}}, {""LEMMA"": {""REGEX"": ""(?i)^yard$""}}]]"
do the honors	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^honor$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^honor$""}}]]"
do the honours	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^honour$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^honor$""}}]]"
do the math	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^math$""}}]]"
do the right thing	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^right$""}}, {""LEMMA"": {""REGEX"": ""(?i)^thing$""}}]]"
do the trick	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^trick$""}}]]"
do-or-die	"[[{""TEXT"": {""REGEX"": ""(?i)^do$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^or$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^die$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""LEMMA"": {""REGEX"": ""(?i)^or$""}}, {""LEMMA"": {""REGEX"": ""(?i)^die$""}}]]"
dog and cat	"[[{""LEMMA"": {""REGEX"": ""(?i)^dog$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^cat$""}}]]"
dog and pony show	"[[{""LEMMA"": {""REGEX"": ""(?i)^dog$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^pony$""}}, {""LEMMA"": {""REGEX"": ""(?i)^show$""}}], [{""TEXT"": {""REGEX"": ""(?i)^dog$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^and$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^pony$""}}, {""TEXT"": {""REGEX"": ""(?i)^show$""}}]]"
dog eat dog	"[[{""LEMMA"": {""REGEX"": ""(?i)^dog$""}}, {""LEMMA"": {""REGEX"": ""(?i)^eat$""}}, {""LEMMA"": {""REGEX"": ""(?i)^dog$""}}], [{""TEXT"": {""REGEX"": ""(?i)^dog$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^eat$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^dog$""}}]]"
dog's breakfast	"[[{""LEMMA"": {""REGEX"": ""(?i)^dog$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}, {""LEMMA"": {""REGEX"": ""(?i)^breakfast$""}}]]"
don't get me started	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""LEMMA"": {""REGEX"": ""(?i)^n't$""}}, {""LEMMA"": {""REGEX"": ""(?i)^get$""}}, {""LEMMA"": {""REGEX"": ""(?i)^I$""}}, {""LEMMA"": {""REGEX"": ""(?i)^start$""}}]]"
don't go there	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""LEMMA"": {""REGEX"": ""(?i)^n't$""}}, {""LEMMA"": {""REGEX"": ""(?i)^go$""}}, {""LEMMA"": {""REGEX"": ""(?i)^there$""}}]]"
don't hold your breath	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""LEMMA"": {""REGEX"": ""(?i)^n't$""}}, {""LEMMA"": {""REGEX"": ""(?i)^hold$""}}, {""LEMMA"": {""REGEX"": ""(?i)^your$""}}, {""LEMMA"": {""REGEX"": ""(?i)^breath$""}}]]"
don't tell me	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""LEMMA"": {""REGEX"": ""(?i)^n't$""}}, {""LEMMA"": {""REGEX"": ""(?i)^tell$""}}, {""LEMMA"": {""REGEX"": ""(?i)^I$""}}]]"
done and done	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^do$""}}]]"
done and dusted	"[[{""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^dust$""}}]]"
donkey's years	"[[{""LEMMA"": {""REGEX"": ""(?i)^donkey$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}, {""LEMMA"": {""REGEX"": ""(?i)^year$""}}]]"
doom and gloom	"[[{""LEMMA"": {""REGEX"": ""(?i)^doom$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^gloom$""}}], [{""TEXT"": {""REGEX"": ""(?i)^doom$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^and$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^gloom$""}}]]"
double entendre	"[[{""LEMMA"": {""REGEX"": ""(?i)^double$""}}, {""LEMMA"": {""REGEX"": ""(?i)^entendre$""}}]]"
double-edged sword	"[[{""TEXT"": {""REGEX"": ""(?i)^double$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^edged$""}}, {""TEXT"": {""REGEX"": ""(?i)^sword$""}}]]"
down and out	"[[{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}], [{""TEXT"": {""REGEX"": ""(?i)^down$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^and$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^out$""}}]]"
down at heel	"[[{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^heel$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^heel$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^heel$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^heel$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^heel$""}}]]"
down for the count	"[[{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""LEMMA"": {""REGEX"": ""(?i)^for$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^count$""}}]]"
down in the dumps	"[[{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^dump$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^dump$""}}]]"
down on one's luck	"[[{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^luck$""}}]]"
down the drain	"[[{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^drain$""}}]]"
down the line	"[[{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^line$""}}]]"
down the pan	"[[{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^pan$""}}]]"
down the road	"[[{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^road$""}}]]"
down the toilet	"[[{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^toilet$""}}]]"
down the track	"[[{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^track$""}}]]"
